id,numTrees,currentLeaf,currDepth,Val_score,Train_score
116.0,11.0,2.0,51.0,0.868,0.841
117.0,11.0,2.0,61.0,0.868,0.841
118.0,11.0,2.0,71.0,0.868,0.841
119.0,11.0,2.0,81.0,0.868,0.841
120.0,11.0,2.0,91.0,0.868,0.841
121.0,11.0,12.0,1.0,0.868,0.841
122.0,11.0,12.0,11.0,0.975,0.97
123.0,11.0,12.0,21.0,0.975,0.97
124.0,11.0,12.0,31.0,0.975,0.97
125.0,11.0,12.0,41.0,0.975,0.97
126.0,11.0,12.0,51.0,0.975,0.97
127.0,11.0,12.0,61.0,0.975,0.97
128.0,11.0,12.0,71.0,0.975,0.97
129.0,11.0,12.0,81.0,0.975,0.97
130.0,11.0,12.0,91.0,0.975,0.97
131.0,11.0,22.0,1.0,0.868,0.841
132.0,11.0,22.0,11.0,0.978,0.981
133.0,11.0,22.0,21.0,0.978,0.981
134.0,11.0,22.0,31.0,0.978,0.981
135.0,11.0,22.0,41.0,0.978,0.981
136.0,11.0,22.0,51.0,0.978,0.981
137.0,11.0,22.0,61.0,0.978,0.981
138.0,11.0,22.0,71.0,0.978,0.981
139.0,11.0,22.0,81.0,0.978,0.981
140.0,11.0,22.0,91.0,0.978,0.981
141.0,11.0,32.0,1.0,0.868,0.841
142.0,11.0,32.0,11.0,0.98,0.99
143.0,11.0,32.0,21.0,0.98,0.989
144.0,11.0,32.0,31.0,0.98,0.989
145.0,11.0,32.0,41.0,0.98,0.989
146.0,11.0,32.0,51.0,0.98,0.989
147.0,11.0,32.0,61.0,0.98,0.989
148.0,11.0,32.0,71.0,0.98,0.989
149.0,11.0,32.0,81.0,0.98,0.989
150.0,11.0,32.0,91.0,0.98,0.989
151.0,11.0,42.0,1.0,0.868,0.841
152.0,11.0,42.0,11.0,0.983,0.993
153.0,11.0,42.0,21.0,0.982,0.993
154.0,11.0,42.0,31.0,0.982,0.993
155.0,11.0,42.0,41.0,0.982,0.993
156.0,11.0,42.0,51.0,0.982,0.993
157.0,11.0,42.0,61.0,0.982,0.993
158.0,11.0,42.0,71.0,0.982,0.993
159.0,11.0,42.0,81.0,0.982,0.993
160.0,11.0,42.0,91.0,0.982,0.993
161.0,11.0,52.0,1.0,0.868,0.841
162.0,11.0,52.0,11.0,0.981,0.995
163.0,11.0,52.0,21.0,0.981,0.995
164.0,11.0,52.0,31.0,0.981,0.995
165.0,11.0,52.0,41.0,0.981,0.995
166.0,11.0,52.0,51.0,0.981,0.995
167.0,11.0,52.0,61.0,0.981,0.995
168.0,11.0,52.0,71.0,0.981,0.995
169.0,11.0,52.0,81.0,0.981,0.995
170.0,11.0,52.0,91.0,0.981,0.995
171.0,11.0,62.0,1.0,0.868,0.841
172.0,11.0,62.0,11.0,0.982,0.996
173.0,11.0,62.0,21.0,0.98,0.996
174.0,11.0,62.0,31.0,0.98,0.996
175.0,11.0,62.0,41.0,0.98,0.996
176.0,11.0,62.0,51.0,0.98,0.996
177.0,11.0,62.0,61.0,0.98,0.996
178.0,11.0,62.0,71.0,0.98,0.996
179.0,11.0,62.0,81.0,0.98,0.996
180.0,11.0,62.0,91.0,0.98,0.996
181.0,11.0,72.0,1.0,0.868,0.841
182.0,11.0,72.0,11.0,0.982,0.996
183.0,11.0,72.0,21.0,0.98,0.996
184.0,11.0,72.0,31.0,0.98,0.996
185.0,11.0,72.0,41.0,0.98,0.996
186.0,11.0,72.0,51.0,0.98,0.996
187.0,11.0,72.0,61.0,0.98,0.996
188.0,11.0,72.0,71.0,0.98,0.996
189.0,11.0,72.0,81.0,0.98,0.996
190.0,11.0,72.0,91.0,0.98,0.996
191.0,11.0,82.0,1.0,0.868,0.841
192.0,11.0,82.0,11.0,0.982,0.996
193.0,11.0,82.0,21.0,0.98,0.996
194.0,11.0,82.0,31.0,0.98,0.996
195.0,11.0,82.0,41.0,0.98,0.996
196.0,11.0,82.0,51.0,0.98,0.996
197.0,11.0,82.0,61.0,0.98,0.996
198.0,11.0,82.0,71.0,0.98,0.996
199.0,11.0,82.0,81.0,0.98,0.996
200.0,11.0,82.0,91.0,0.98,0.996
201.0,11.0,92.0,1.0,0.868,0.841
202.0,11.0,92.0,11.0,0.982,0.996
203.0,11.0,92.0,21.0,0.98,0.996
204.0,11.0,92.0,31.0,0.98,0.996
205.0,11.0,92.0,41.0,0.98,0.996
206.0,11.0,92.0,51.0,0.98,0.996
207.0,11.0,92.0,61.0,0.98,0.996
208.0,11.0,92.0,71.0,0.98,0.996
209.0,11.0,92.0,81.0,0.98,0.996
210.0,11.0,92.0,91.0,0.98,0.996
211.0,11.0,102.0,1.0,0.868,0.841
212.0,11.0,102.0,11.0,0.982,0.996
213.0,11.0,102.0,21.0,0.98,0.996
214.0,11.0,102.0,31.0,0.98,0.996
215.0,11.0,102.0,41.0,0.98,0.996
216.0,11.0,102.0,51.0,0.98,0.996
217.0,11.0,102.0,61.0,0.98,0.996
218.0,11.0,102.0,71.0,0.98,0.996
219.0,11.0,102.0,81.0,0.98,0.996
220.0,11.0,102.0,91.0,0.98,0.996
221.0,21.0,2.0,1.0,0.895,0.877
222.0,21.0,2.0,11.0,0.895,0.877
223.0,21.0,2.0,21.0,0.895,0.877
224.0,21.0,2.0,31.0,0.895,0.877
225.0,21.0,2.0,41.0,0.895,0.877
226.0,21.0,2.0,51.0,0.895,0.877
227.0,21.0,2.0,61.0,0.895,0.877
228.0,21.0,2.0,71.0,0.895,0.877
229.0,21.0,2.0,81.0,0.895,0.877
230.0,21.0,2.0,91.0,0.895,0.877
231.0,21.0,12.0,1.0,0.895,0.877
232.0,21.0,12.0,11.0,0.981,0.975
233.0,21.0,12.0,21.0,0.981,0.975
234.0,21.0,12.0,31.0,0.981,0.975
235.0,21.0,12.0,41.0,0.981,0.975
236.0,21.0,12.0,51.0,0.981,0.975
237.0,21.0,12.0,61.0,0.981,0.975
238.0,21.0,12.0,71.0,0.981,0.975
239.0,21.0,12.0,81.0,0.981,0.975
240.0,21.0,12.0,91.0,0.981,0.975
241.0,21.0,22.0,1.0,0.895,0.877
242.0,21.0,22.0,11.0,0.982,0.985
243.0,21.0,22.0,21.0,0.982,0.985
244.0,21.0,22.0,31.0,0.982,0.985
245.0,21.0,22.0,41.0,0.982,0.985
246.0,21.0,22.0,51.0,0.982,0.985
247.0,21.0,22.0,61.0,0.982,0.985
248.0,21.0,22.0,71.0,0.982,0.985
249.0,21.0,22.0,81.0,0.982,0.985
250.0,21.0,22.0,91.0,0.982,0.985
251.0,21.0,32.0,1.0,0.895,0.877
252.0,21.0,32.0,11.0,0.987,0.993
253.0,21.0,32.0,21.0,0.987,0.993
254.0,21.0,32.0,31.0,0.987,0.993
255.0,21.0,32.0,41.0,0.987,0.993
256.0,21.0,32.0,51.0,0.987,0.993
257.0,21.0,32.0,61.0,0.987,0.993
258.0,21.0,32.0,71.0,0.987,0.993
259.0,21.0,32.0,81.0,0.987,0.993
260.0,21.0,32.0,91.0,0.987,0.993
261.0,21.0,42.0,1.0,0.895,0.877
262.0,21.0,42.0,11.0,0.989,0.997
263.0,21.0,42.0,21.0,0.988,0.996
264.0,21.0,42.0,31.0,0.988,0.996
265.0,21.0,42.0,41.0,0.988,0.996
266.0,21.0,42.0,51.0,0.988,0.996
267.0,21.0,42.0,61.0,0.988,0.996
268.0,21.0,42.0,71.0,0.988,0.996
269.0,21.0,42.0,81.0,0.988,0.996
270.0,21.0,42.0,91.0,0.988,0.996
271.0,21.0,52.0,1.0,0.895,0.877
272.0,21.0,52.0,11.0,0.99,0.997
273.0,21.0,52.0,21.0,0.99,0.997
274.0,21.0,52.0,31.0,0.99,0.997
275.0,21.0,52.0,41.0,0.99,0.997
276.0,21.0,52.0,51.0,0.99,0.997
277.0,21.0,52.0,61.0,0.99,0.997
278.0,21.0,52.0,71.0,0.99,0.997
279.0,21.0,52.0,81.0,0.99,0.997
280.0,21.0,52.0,91.0,0.99,0.997
281.0,21.0,62.0,1.0,0.895,0.877
282.0,21.0,62.0,11.0,0.99,0.998
283.0,21.0,62.0,21.0,0.99,0.998
284.0,21.0,62.0,31.0,0.99,0.998
285.0,21.0,62.0,41.0,0.99,0.998
286.0,21.0,62.0,51.0,0.99,0.998
287.0,21.0,62.0,61.0,0.99,0.998
288.0,21.0,62.0,71.0,0.99,0.998
289.0,21.0,62.0,81.0,0.99,0.998
290.0,21.0,62.0,91.0,0.99,0.998
291.0,21.0,72.0,1.0,0.895,0.877
292.0,21.0,72.0,11.0,0.99,0.998
293.0,21.0,72.0,21.0,0.99,0.998
294.0,21.0,72.0,31.0,0.99,0.998
295.0,21.0,72.0,41.0,0.99,0.998
296.0,21.0,72.0,51.0,0.99,0.998
297.0,21.0,72.0,61.0,0.99,0.998
298.0,21.0,72.0,71.0,0.99,0.998
299.0,21.0,72.0,81.0,0.99,0.998
300.0,21.0,72.0,91.0,0.99,0.998
301.0,21.0,82.0,1.0,0.895,0.877
302.0,21.0,82.0,11.0,0.99,0.998
303.0,21.0,82.0,21.0,0.99,0.998
