id,numTrees,currenmaxtLeaf,currDepth,Val_score,Train_score,minLeaf,maxFea,minSplit,min_impurity_decrease,warm_start
106,1,2,1,0.5,0.5,11,10,12,10,True
107,1,2,1,0.5,0.5,11,10,12,20,False
108,1,2,1,0.5,0.5,11,10,12,20,True
109,1,2,1,0.791,0.778,11,10,22,0,False
110,1,2,1,0.791,0.778,11,10,22,0,True
111,1,2,1,0.5,0.5,11,10,22,10,False
112,1,2,1,0.5,0.5,11,10,22,10,True
113,1,2,1,0.5,0.5,11,10,22,20,False
114,1,2,1,0.5,0.5,11,10,22,20,True
115,1,2,1,0.791,0.778,11,10,32,0,False
116,1,2,1,0.791,0.778,11,10,32,0,True
117,1,2,1,0.5,0.5,11,10,32,10,False
118,1,2,1,0.5,0.5,11,10,32,10,True
119,1,2,1,0.5,0.5,11,10,32,20,False
120,1,2,1,0.5,0.5,11,10,32,20,True
121,1,2,1,0.791,0.778,11,10,2,0,False
122,1,2,1,0.791,0.778,11,10,2,0,True
123,1,2,1,0.5,0.5,11,10,2,10,False
124,1,2,1,0.5,0.5,11,10,2,10,True
125,1,2,1,0.5,0.5,11,10,2,20,False
126,1,2,1,0.5,0.5,11,10,2,20,True
127,1,2,1,0.791,0.778,11,10,12,0,False
128,1,2,1,0.791,0.778,11,10,12,0,True
129,1,2,1,0.5,0.5,11,10,12,10,False
130,1,2,1,0.5,0.5,11,10,12,10,True
131,1,2,1,0.5,0.5,11,10,12,20,False
132,1,2,1,0.5,0.5,11,10,12,20,True
133,1,2,1,0.791,0.778,11,10,22,0,False
134,1,2,1,0.791,0.778,11,10,22,0,True
135,1,2,1,0.5,0.5,11,10,22,10,False
136,1,2,1,0.5,0.5,11,10,22,10,True
137,1,2,1,0.5,0.5,11,10,22,20,False
138,1,2,1,0.5,0.5,11,10,22,20,True
139,1,2,1,0.791,0.778,11,10,32,0,False
140,1,2,1,0.791,0.778,11,10,32,0,True
141,1,2,1,0.5,0.5,11,10,32,10,False
142,1,2,1,0.5,0.5,11,10,32,10,True
143,1,2,1,0.5,0.5,11,10,32,20,False
144,1,2,1,0.5,0.5,11,10,32,20,True
145,1,2,1,0.644,0.662,21,10,2,0,False
146,1,2,1,0.644,0.662,21,10,2,0,True
147,1,2,1,0.5,0.5,21,10,2,10,False
148,1,2,1,0.5,0.5,21,10,2,10,True
149,1,2,1,0.5,0.5,21,10,2,20,False
150,1,2,1,0.5,0.5,21,10,2,20,True
151,1,2,1,0.644,0.662,21,10,12,0,False
152,1,2,1,0.644,0.662,21,10,12,0,True
153,1,2,1,0.5,0.5,21,10,12,10,False
154,1,2,1,0.5,0.5,21,10,12,10,True
155,1,2,1,0.5,0.5,21,10,12,20,False
156,1,2,1,0.5,0.5,21,10,12,20,True
157,1,2,1,0.644,0.662,21,10,22,0,False
158,1,2,1,0.644,0.662,21,10,22,0,True
159,1,2,1,0.5,0.5,21,10,22,10,False
160,1,2,1,0.5,0.5,21,10,22,10,True
161,1,2,1,0.5,0.5,21,10,22,20,False
162,1,2,1,0.5,0.5,21,10,22,20,True
163,1,2,1,0.644,0.662,21,10,32,0,False
164,1,2,1,0.644,0.662,21,10,32,0,True
165,1,2,1,0.5,0.5,21,10,32,10,False
166,1,2,1,0.5,0.5,21,10,32,10,True
167,1,2,1,0.5,0.5,21,10,32,20,False
168,1,2,1,0.5,0.5,21,10,32,20,True
169,1,2,1,0.791,0.778,21,10,2,0,False
170,1,2,1,0.791,0.778,21,10,2,0,True
171,1,2,1,0.5,0.5,21,10,2,10,False
172,1,2,1,0.5,0.5,21,10,2,10,True
173,1,2,1,0.5,0.5,21,10,2,20,False
174,1,2,1,0.5,0.5,21,10,2,20,True
175,1,2,1,0.791,0.778,21,10,12,0,False
176,1,2,1,0.791,0.778,21,10,12,0,True
177,1,2,1,0.5,0.5,21,10,12,10,False
178,1,2,1,0.5,0.5,21,10,12,10,True
179,1,2,1,0.5,0.5,21,10,12,20,False
180,1,2,1,0.5,0.5,21,10,12,20,True
181,1,2,1,0.791,0.778,21,10,22,0,False
182,1,2,1,0.791,0.778,21,10,22,0,True
183,1,2,1,0.5,0.5,21,10,22,10,False
184,1,2,1,0.5,0.5,21,10,22,10,True
185,1,2,1,0.5,0.5,21,10,22,20,False
186,1,2,1,0.5,0.5,21,10,22,20,True
187,1,2,1,0.791,0.778,21,10,32,0,False
188,1,2,1,0.791,0.778,21,10,32,0,True
189,1,2,1,0.5,0.5,21,10,32,10,False
190,1,2,1,0.5,0.5,21,10,32,10,True
191,1,2,1,0.5,0.5,21,10,32,20,False
192,1,2,1,0.5,0.5,21,10,32,20,True
193,1,2,1,0.791,0.778,21,10,2,0,False
194,1,2,1,0.791,0.778,21,10,2,0,True
195,1,2,1,0.5,0.5,21,10,2,10,False
196,1,2,1,0.5,0.5,21,10,2,10,True
197,1,2,1,0.5,0.5,21,10,2,20,False
198,1,2,1,0.5,0.5,21,10,2,20,True
199,1,2,1,0.791,0.778,21,10,12,0,False
200,1,2,1,0.791,0.778,21,10,12,0,True
201,1,2,1,0.5,0.5,21,10,12,10,False
202,1,2,1,0.5,0.5,21,10,12,10,True
203,1,2,1,0.5,0.5,21,10,12,20,False
204,1,2,1,0.5,0.5,21,10,12,20,True
205,1,2,1,0.791,0.778,21,10,22,0,False
206,1,2,1,0.791,0.778,21,10,22,0,True
207,1,2,1,0.5,0.5,21,10,22,10,False
208,1,2,1,0.5,0.5,21,10,22,10,True
209,1,2,1,0.5,0.5,21,10,22,20,False
210,1,2,1,0.5,0.5,21,10,22,20,True
211,1,2,1,0.791,0.778,21,10,32,0,False
212,1,2,1,0.791,0.778,21,10,32,0,True
213,1,2,1,0.5,0.5,21,10,32,10,False
214,1,2,1,0.5,0.5,21,10,32,10,True
215,1,2,1,0.5,0.5,21,10,32,20,False
216,1,2,1,0.5,0.5,21,10,32,20,True
217,1,2,11,0.644,0.662,1,10,2,0,False
218,1,2,11,0.644,0.662,1,10,2,0,True
219,1,2,11,0.5,0.5,1,10,2,10,False
220,1,2,11,0.5,0.5,1,10,2,10,True
221,1,2,11,0.5,0.5,1,10,2,20,False
222,1,2,11,0.5,0.5,1,10,2,20,True
223,1,2,11,0.644,0.662,1,10,12,0,False
224,1,2,11,0.644,0.662,1,10,12,0,True
225,1,2,11,0.5,0.5,1,10,12,10,False
226,1,2,11,0.5,0.5,1,10,12,10,True
227,1,2,11,0.5,0.5,1,10,12,20,False
228,1,2,11,0.5,0.5,1,10,12,20,True
