id,max_features,Val_score,Train_score
1.0,1.0,0.83,0.931
2.0,11.0,0.921,0.96
3.0,21.0,0.92,0.972
4.0,31.0,0.921,0.969
5.0,41.0,0.917,0.96
6.0,51.0,0.924,0.962
